Stop_ID,Stop_name,Stop_lat,Stop_long,2018-19,2019-20,2020-21
20979,0-Bourke/Spring,-37.811545,144.9731,399750,247800,13850
17880,10-Albert/Nicholson,-37.80958,144.97296,370800,235450,70100
17892,10-Albert/Nicholson,-37.80942,144.9729,302400,180050,134550
19497,10-Bourke Street Mall,-37.813397,144.965608,3981200,2935150,747700
19687,10-Bourke Street Mall,-37.813067,144.965342,1706350,1728050,687600
17859,10-Chetwynd/Victoria,-37.80552,144.95239,11200,9550,2450
17862,10-Chetwynd/Victoria,-37.8054,144.95203,48200,24850,8250
18094,10-Jolimont/Wellington,-37.815748,144.979786,60750,84600,12350
18103,10-Jolimont/Wellington,-37.81577,144.97933,48150,24500,21300
18009,10-Nicholson/Victoria,-37.808019,144.973567,49150,16500,7150
18050,10-Nicholson/Victoria,-37.80784,144.972837,3800,179900,#N/A
17897,10-Parliament Railway Station,-37.812364,144.974437,180050,150400,56900
17915,10-Parliament Railway Station,-37.812354,144.97432,507850,318050,140850
17867,10-Royal Melbourne Hospital,-37.7999,144.95744,182900,195550,53300
17868,10-Royal Melbourne Hospital,-37.799584,144.957666,182300,80600,19900
19280,10-Swan Street Shopping Centre,-37.825539,144.996106,32400,49200,17000
19464,10-Swan Street Shopping Centre,-37.82538,144.995904,48300,34150,12300
18203,10-Victoria/Peel,-37.80539,144.95603,22400,29950,13750
18204,10-Victoria/Peel,-37.8057,144.95608,47950,25350,7600
18789,112-Lygon/Elgin,-37.79713,144.967155,161350,180300,100900
19340,112-Lygon/Elgin,-37.796977,144.967633,260150,98350,48500
18790,113-Lytton/Lygon,-37.794131,144.968025,24100,29750,25700
19341,113-Lytton/Lygon,-37.794137,144.968123,203400,143300,58100
18791,114-Princes/Lygon,-37.792685,144.968271,28000,41600,20300
19342,114-Princes/Lygon,-37.792129,144.968463,57950,26600,24500
18450,115-Casino East,-37.821709,144.96123,168350,55650,91650
18215,115-Casino/Southbank,-37.82182,144.96131,84750,140000,40200
18792,115-Melbourne Cemetery,-37.789577,144.968802,13950,18000,11700
19343,115-Melbourne Cemetery,-37.789282,144.968949,68250,81000,18000
18233,116-City/Kings,-37.82626,144.96058,95750,69700,66450
22612,116-City/Kings,-37.826299,144.960808,174050,136100,52250
18793,116-Fenwick/Lygon,-37.787368,144.969181,2100,19250,16850
19344,116-Fenwick/Lygon,-37.787203,144.969306,55150,69300,31350
18794,117-Richardson/Lygon,-37.784034,144.969732,16000,7400,11300
19345,117-Richardson/Lygon,-37.784085,144.969819,112050,27600,14600
