LGA_NAME,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,tram_total_patronage,total_public_transport_patronage,region_type,tram_to_train_ratio
Banyule,3296150,10650,11050,9450,5950,4000,1050,5300,2100,2300,500,368800,3664950,Middle,0.11
Bayside,3331450,10200,10450,9250,7950,5300,550,4650,2350,2400,550,334300,3665750,Middle,0.1
Boroondara,6525800,21500,22800,16950,10350,8050,950,7800,5100,7950,1600,9640200,16166000,Middle,1.48
Brimbank,5473850,18150,19150,14600,8450,6250,1900,8050,4600,3850,650,0,5473850,Middle,0
Cardinia,1364750,4450,4650,3650,2350,1750,1000,1900,1050,700,250,0,1364750,Outer,0
Casey,4091350,13750,14550,10950,5850,4200,2650,6600,3000,1950,450,0,4091350,Outer,0
Darebin,4634200,14650,15300,12450,9500,6500,1100,6950,3150,3450,800,5030650,9664850,Middle,1.09
Frankston,1534500,4650,4550,4950,3850,2650,800,1500,1200,1000,300,0,1534500,Outer,0
Glen Eira,8120950,25000,26050,21500,18550,13100,1050,9700,6150,6950,2050,3679350,11800300,Middle,0.45
Greater Dandenong,5125100,16250,16900,13750,9950,7750,1350,4950,4450,4950,1200,0,5125100,Outer,0
Hobsons Bay,3914900,12500,12850,11000,7700,5450,1150,6050,2750,2500,600,0,3914900,Middle,0
Hume,4121900,13200,13700,11400,7850,5850,1800,5400,3250,2700,550,0,4121900,Outer,0
Kingston,4940800,15300,15600,13650,11250,7700,1150,6300,3650,4000,900,0,4940800,Middle,0
Knox,1427150,4650,4900,4050,2450,1750,600,2400,950,750,200,0,1427150,Outer,0
Maribyrnong,6718850,21700,22550,18650,12650,8550,1350,8050,5650,6300,1350,1750500,8469350,Middle,0.26
Maroondah,2430000,7750,7950,6850,4750,3400,650,2900,1900,2050,500,0,2430000,Outer,0
Melbourne,60325850,193450,199150,172100,113500,84350,2800,12600,40600,115350,28400,123391250,183717100,Inner,2.05
Melton,165600,550,600,450,200,150,100,300,100,50,50,0,165600,Outer,0
Merri-Bek,4698200,14600,15200,13000,10000,7200,1250,6650,3500,3150,800,10056650,14754850,Middle,2.14
Monash,8238600,26550,28200,20650,15100,11100,1650,9700,6450,8300,1950,0,8238600,Middle,0
Moonee Valley,3798050,12200,12650,10250,7400,5250,850,6000,2500,2750,550,5339500,9137550,Middle,1.41
Mornington Peninsula,52500,400,400,400,400,400,400,400,400,400,400,0,52500,Outer,0
Nillumbik,561700,1800,1850,1800,1050,800,300,850,350,400,200,0,561700,Outer,0
Port Phillip,1218250,3900,4000,3500,2400,1750,150,1900,800,900,200,17022000,18240250,Inner,13.97
Stonnington,9219400,29500,31000,23450,18100,12700,1100,10350,6700,11000,2100,10539000,19758400,Inner,1.14
Whitehorse,6304500,20150,21100,16900,12000,8950,1500,8750,4750,5300,950,4152350,10456850,Middle,0.66
Whittlesea,3796000,12300,13000,10000,6900,4800,1950,5450,2650,2400,500,500800,4296800,Outer,0.13
Wyndham,3365000,11500,11950,9700,4400,3150,1700,6000,2500,1600,250,0,3365000,Outer,0
Yarra,8175600,24350,24700,22900,21300,14500,600,4400,4200,11750,3950,13642450,21818050,Inner,1.67
Yarra Ranges,1509750,4800,5100,4000,2950,2050,800,2150,1050,1000,250,0,1509750,Outer,0
